    nm         	nN
3.039100e+001	3.950772e-002
3.046846e+001	3.197150e-002
3.051308e+001	2.295034e-002
3.098472e+001	3.323609e-002
3.112788e+001	2.867038e-002
3.104111e+001	1.370864e-002
3.088863e+001	-4.223604e-003
3.163948e+001	1.868610e-002
3.222608e+001	3.416989e-002
3.209004e+001	1.698042e-002
3.220035e+001	1.092955e-002
3.211358e+001	-4.032401e-003
3.215819e+001	-1.305355e-002
3.315539e+001	2.099476e-002
3.341352e+001	2.162707e-002
3.306397e+001	-5.216050e-003
3.268156e+001	-3.354434e-002
3.326817e+001	-1.806036e-002
3.398616e+001	3.364208e-003
3.381727e+001	-1.531061e-002
3.435460e+001	-2.054548e-003
3.477697e+001	6.003696e-003
3.469019e+001	-8.958259e-003
3.494832e+001	-8.325969e-003
3.512433e+001	-1.140652e-002
3.507040e+001	-2.488313e-002
3.514786e+001	-3.241936e-002
3.538957e+001	-3.252962e-002
3.589406e+001	-2.075850e-002
3.590582e+001	-3.126480e-002
3.562196e+001	-5.513765e-002
3.583082e+001	-5.673307e-002
3.626961e+001	-4.793246e-002
3.697118e+001	-2.725046e-002
3.703222e+001	-3.552925e-002
3.761883e+001	-2.004526e-002
3.759775e+001	-3.203671e-002
3.729746e+001	-5.665213e-002
3.753917e+001	-5.676242e-002
3.745239e+001	-7.172438e-002
3.751343e+001	-8.000295e-002
3.834640e+001	-5.338035e-002
3.944215e+001	-1.487659e-002
3.993021e+001	-3.848259e-003
4.031973e+001	2.724858e-003
4.116912e+001	3.008980e-002
4.159149e+001	3.814805e-002
4.170180e+001	3.209697e-002
4.225555e+001	4.609581e-002
4.184030e+001	1.628239e-002
4.196704e+001	1.097409e-002
4.247152e+001	2.274500e-002
4.271322e+001	2.263473e-002
4.290566e+001	2.029674e-002
4.352511e+001	3.726587e-002
4.338906e+001	2.007619e-002
4.420561e+001	4.595621e-002
4.449658e+001	4.807367e-002
4.408133e+001	1.826022e-002
4.468436e+001	3.448680e-002
4.512315e+001	4.328740e-002
4.552909e+001	5.060286e-002
4.539305e+001	3.341340e-002
4.530627e+001	1.845143e-002
4.600784e+001	3.913344e-002
4.685723e+001	6.649840e-002
4.645840e+001	3.742775e-002
4.661799e+001	3.360461e-002
4.697466e+001	3.869234e-002
4.721636e+001	3.858208e-002
4.734310e+001	3.327379e-002
4.719062e+001	1.534154e-002
4.736663e+001	1.226096e-002
4.793682e+001	2.700216e-002
4.816209e+001	2.614932e-002
4.799320e+001	7.474711e-003
4.813636e+001	2.908999e-003
4.824667e+001	-3.141851e-003
4.830771e+001	-1.142066e-002
4.933776e+001	2.411280e-002
4.941523e+001	1.657680e-002
4.891785e+001	-1.694949e-002
4.935664e+001	-8.148890e-003
5.015676e+001	1.698855e-002
5.072695e+001	3.172997e-002
5.055805e+001	1.305514e-002
5.096399e+001	2.037060e-002
5.120570e+001	2.026034e-002
5.144740e+001	2.015006e-002
5.214898e+001	4.083207e-002
5.243995e+001	4.294951e-002
5.248457e+001	3.392837e-002
5.218428e+001	9.312945e-003
5.229460e+001	3.262094e-003
5.212570e+001	-1.541274e-002
5.276157e+001	2.298959e-003
5.326606e+001	1.406987e-002
5.381982e+001	2.806849e-002
5.432431e+001	3.983961e-002
5.422111e+001	2.413507e-002
5.344453e+001	-2.201497e-002
5.432677e+001	6.835337e-003
5.489694e+001	2.157654e-002
5.517150e+001	2.295143e-002
5.498618e+001	3.534227e-003
5.544139e+001	1.307741e-002
5.589661e+001	2.262060e-002
5.608904e+001	2.028259e-002
5.647856e+001	2.685550e-002
5.653960e+001	1.857690e-002
5.699482e+001	2.812031e-002
5.682592e+001	9.445480e-003
5.682126e+001	-1.803383e-003
5.719436e+001	4.026919e-003
5.753461e+001	8.372105e-003
5.761207e+001	8.360820e-004
5.770596e+001	-5.957343e-003
5.817760e+001	4.328396e-003
5.851784e+001	8.673571e-003
5.785623e+001	-3.227845e-002
5.808151e+001	-3.313130e-002
5.909514e+001	1.659597e-003
5.956678e+001	1.194535e-002
5.954570e+001	-4.607830e-005
5.937680e+001	-1.872091e-002
5.961851e+001	-1.883119e-002
6.007372e+001	-9.288006e-003
6.047966e+001	-1.972314e-003
6.022865e+001	-2.436003e-002
6.053605e+001	-2.150000e-002
6.082702e+001	-1.938254e-002
6.110157e+001	-1.800768e-002
6.132685e+001	-1.886052e-002
6.148644e+001	-2.268368e-002
6.204020e+001	-8.684811e-003
6.175633e+001	-3.255768e-002
6.150532e+001	-5.494537e-002
6.135285e+001	-7.287739e-002
6.251430e+001	-3.140334e-002
6.319944e+001	-1.146411e-002
6.284989e+001	-3.830705e-002
6.310801e+001	-3.767473e-002
6.382601e+001	-1.625037e-002
6.405129e+001	-1.710323e-002
6.412876e+001	-2.463924e-002
6.391058e+001	-4.554179e-002
6.387308e+001	-5.827581e-002
6.427902e+001	-5.096035e-002
6.440576e+001	-5.626863e-002
6.446680e+001	-6.454721e-002
6.488916e+001	-5.648920e-002
6.513087e+001	-5.659945e-002
6.583245e+001	-3.591744e-002
6.576209e+001	-5.013682e-002
6.567532e+001	-6.509859e-002
6.588417e+001	-6.669400e-002
6.609303e+001	-6.828942e-002
6.710666e+001	-3.349850e-002
6.693777e+001	-5.217335e-002
6.709735e+001	-5.599649e-002
6.651786e+001	-9.323565e-002
6.679240e+001	-9.186078e-002
6.731332e+001	-7.934708e-002
6.822840e+001	-4.901184e-002
6.812520e+001	-6.471616e-002
6.821909e+001	-7.150960e-002
6.826371e+001	-8.053076e-002
6.847256e+001	-8.212638e-002
6.846791e+001	-9.337526e-002
6.897240e+001	-8.160414e-002
7.019953e+001	-3.715978e-002
7.052336e+001	-3.355717e-002
7.051870e+001	-4.480607e-002
7.131882e+001	-1.966883e-002
7.225033e+001	1.140920e-002
7.270555e+001	2.095260e-002
7.294725e+001	2.084232e-002
7.277835e+001	2.167500e-003
7.242879e+001	-2.467563e-002
7.299898e+001	-9.934201e-003
7.301075e+001	-2.044073e-002
7.381086e+001	4.696691e-003
7.459456e+001	2.909157e-002
7.462275e+001	1.932785e-002
7.470021e+001	1.179161e-002
7.459701e+001	-3.912696e-003
7.551210e+001	2.642276e-002
7.549102e+001	1.443110e-002
7.530570e+001	-4.986082e-003
7.577734e+001	5.299669e-003
7.593692e+001	1.476520e-003
7.634286e+001	8.791995e-003
7.648602e+001	4.226271e-003
7.689196e+001	1.154172e-002
7.703512e+001	6.976022e-003
7.678411e+001	-1.541144e-002
7.714078e+001	-1.032370e-002
7.749745e+001	-5.235965e-003
7.706578e+001	-3.579198e-002
7.732390e+001	-3.515966e-002
7.774627e+001	-2.710163e-002
7.802082e+001	-2.572676e-002
7.826252e+001	-2.583703e-002
7.870132e+001	-1.703620e-002
7.891017e+001	-1.863184e-002
7.949678e+001	-3.147837e-003
7.988630e+001	3.425028e-003
7.960243e+001	-2.044780e-002
7.994269e+001	-1.610242e-002
8.020081e+001	-1.547012e-002
8.036039e+001	-1.929348e-002
8.071707e+001	-1.420552e-002
8.094235e+001	-1.505836e-002
8.113478e+001	-1.739634e-002
8.076879e+001	-4.498207e-002
8.132255e+001	-3.098344e-002
8.199128e+001	-1.178658e-002
8.183881e+001	-2.971884e-002
8.171919e+001	-4.616572e-002
8.214155e+001	-3.810768e-002
8.267888e+001	-2.485165e-002
8.265781e+001	-3.684308e-002
8.247248e+001	-5.626050e-002
8.281273e+001	-5.191511e-002
8.335007e+001	-3.865906e-002
8.416662e+001	-1.277903e-002
8.380063e+001	-4.036475e-002
8.336895e+001	-7.092076e-002
8.390628e+001	-5.766471e-002
8.462428e+001	-3.624013e-002
8.470175e+001	-4.377613e-002
8.466424e+001	-5.651038e-002
8.465958e+001	-6.775924e-002
8.493414e+001	-6.638438e-002
8.489663e+001	-7.911839e-002
8.522046e+001	-7.551581e-002
8.539647e+001	-7.859637e-002
8.537538e+001	-9.058804e-002
8.602769e+001	-7.213376e-002
8.641720e+001	-6.556087e-002
8.749653e+001	-2.779967e-002
8.847731e+001	5.506083e-003
8.866974e+001	3.168095e-003
8.925635e+001	1.865209e-002
8.972799e+001	2.893784e-002
8.923062e+001	-4.588454e-003
8.963656e+001	2.726998e-003
8.981257e+001	-3.535531e-004
8.993931e+001	-5.661840e-003
9.041094e+001	4.623899e-003
9.029132e+001	-1.182298e-002
9.076296e+001	-1.537225e-003
9.047909e+001	-2.541008e-002
9.080292e+001	-2.180726e-002
9.145522e+001	-3.353187e-003
9.179546e+001	9.919769e-004
9.205360e+001	1.624266e-003
9.178616e+001	-2.150577e-002
9.174865e+001	-3.424001e-002
9.251593e+001	-1.058771e-002
9.290544e+001	-4.014821e-003
9.286794e+001	-1.674883e-002
9.324103e+001	-1.091853e-002
9.312141e+001	-2.736565e-002
9.374087e+001	-1.039649e-002
9.330918e+001	-4.095251e-002
9.381367e+001	-2.918160e-002
9.428531e+001	-1.889563e-002
9.455987e+001	-1.752075e-002
9.501507e+001	-7.977567e-003
9.492830e+001	-2.293930e-002
9.559703e+001	-3.742678e-003
9.544456e+001	-2.167470e-002
9.502930e+001	-5.148814e-002
9.617433e+001	-1.075665e-002
9.613682e+001	-2.349066e-002
9.621428e+001	-3.102691e-002
9.689943e+001	-1.108747e-002
9.684551e+001	-2.456406e-002
9.661091e+001	-4.620919e-002
9.678693e+001	-4.928977e-002
9.707790e+001	-4.717230e-002
9.707324e+001	-5.842119e-002
9.687150e+001	-7.858117e-002
9.791798e+001	-4.230510e-002
9.807756e+001	-4.612825e-002
9.822072e+001	-5.069396e-002
9.856097e+001	-4.634880e-002
9.847419e+001	-6.131077e-002
9.896225e+001	-5.028221e-002
9.951601e+001	-3.628360e-002
9.918288e+001	-6.238414e-002
9.952313e+001	-5.803876e-002
9.964986e+001	-6.334728e-002
1.000887e+002	-5.454645e-002
1.005110e+002	-4.648840e-002
1.006542e+002	-5.105413e-002
1.017664e+002	-1.180777e-002
1.026650e+002	1.778510e-002
1.033502e+002	3.772432e-002
1.036083e+002	3.835662e-002
1.037843e+002	3.527604e-002
1.040753e+002	3.739350e-002
1.044976e+002	4.545175e-002
1.054620e+002	7.801496e-002
1.051124e+002	5.117180e-002
1.049928e+002	3.472470e-002
1.055137e+002	4.723839e-002
1.054105e+002	3.153386e-002
1.059314e+002	4.404755e-002
1.059268e+002	3.279846e-002
1.059386e+002	2.229216e-002
1.070343e+002	6.079593e-002
1.070461e+002	5.028963e-002
1.071728e+002	4.498133e-002
1.072831e+002	3.893025e-002
1.075905e+002	4.179049e-002
1.074216e+002	2.311566e-002
