    nm         	nN
2.938320e+001	-9.019097e-002
2.954446e+001	-9.393814e-002
2.987169e+001	-9.018141e-002
2.938568e+001	-1.231940e-001
2.944736e+001	-1.314436e-001
2.950905e+001	-1.396932e-001
2.973670e+001	-1.404388e-001
2.984817e+001	-1.464372e-001
3.000943e+001	-1.501844e-001
3.050264e+001	-1.389237e-001
3.053112e+001	-1.486741e-001
3.135626e+001	-1.224054e-001
3.176648e+001	-1.148967e-001
3.141324e+001	-1.419062e-001
3.174047e+001	-1.381494e-001
3.200132e+001	-1.373942e-001
3.158169e+001	-1.674053e-001
3.197531e+001	-1.606470e-001
3.250171e+001	-1.478855e-001
3.336004e+001	-1.201160e-001
3.415198e+001	-9.534818e-002
3.383194e+001	-1.208569e-001
3.467367e+001	-9.383785e-002
3.531625e+001	-7.582357e-002
3.562688e+001	-7.281722e-002
3.548940e+001	-9.007156e-002
3.580004e+001	-8.706516e-002
3.596130e+001	-9.081239e-002
3.630513e+001	-8.630523e-002
3.656598e+001	-8.555005e-002
3.652808e+001	-9.830198e-002
3.678892e+001	-9.754682e-002
3.753108e+001	-7.503020e-002
3.739360e+001	-9.228453e-002
3.747187e+001	-9.978372e-002
3.755015e+001	-1.072829e-001
3.754545e+001	-1.185341e-001
3.797226e+001	-1.102749e-001
3.818332e+001	-1.117709e-001
3.867652e+001	-1.005102e-001
3.897056e+001	-9.825422e-002
3.908203e+001	-1.042526e-001
3.904413e+001	-1.170046e-001
3.932157e+001	-1.154990e-001
3.948284e+001	-1.192463e-001
3.944494e+001	-1.319982e-001
3.968919e+001	-1.319934e-001
3.983385e+001	-1.364910e-001
4.007810e+001	-1.364863e-001
4.055471e+001	-1.259759e-001
4.056660e+001	-1.364767e-001
4.052870e+001	-1.492286e-001
4.077295e+001	-1.492238e-001
4.106699e+001	-1.469679e-001
4.122825e+001	-1.507151e-001
4.268407e+001	-9.593142e-002
4.418968e+001	-3.889657e-002
4.489864e+001	-1.788067e-002
4.452880e+001	-4.564054e-002
4.447431e+001	-5.914291e-002
