    nm         	nN
-4.031617e+000	-1.538888e+000
-4.069488e+000	-1.551638e+000
-4.007850e+000	-1.559890e+000
-4.095490e+000	-1.574891e+000
-3.967474e+000	-1.580141e+000
-4.005355e+000	-1.592892e+000
-4.093004e+000	-1.607894e+000
-4.064541e+000	-1.617645e+000
-4.036053e+000	-1.627396e+000
-4.007580e+000	-1.637147e+000
-3.995697e+000	-1.647648e+000
-3.917450e+000	-1.655149e+000
-3.557186e+000	-1.649898e+000
-2.317707e+000	-1.604896e+000
1.207697e+001	-9.651063e-001
2.595740e+001	-3.485678e-001
2.905487e+001	-2.195599e-001
3.014505e+001	-1.813081e-001
3.010717e+001	-1.940592e-001
3.078262e+001	-1.745585e-001
3.094381e+001	-1.783090e-001
3.211694e+001	-1.363066e-001
3.299145e+001	-1.078053e-001
3.267156e+001	-1.333071e-001
3.294888e+001	-1.318074e-001
3.306030e+001	-1.378081e-001
3.287312e+001	-1.573095e-001
3.338268e+001	-1.453092e-001
3.369317e+001	-1.423094e-001
3.428567e+001	-1.265589e-001
3.464593e+001	-1.213089e-001
3.493983e+001	-1.190592e-001
3.480242e+001	-1.363105e-001
3.473136e+001	-1.505617e-001
3.519115e+001	-1.408115e-001
3.556800e+001	-1.348115e-001
3.617710e+001	-1.183109e-001
3.605627e+001	-1.348122e-001
3.603498e+001	-1.468132e-001
3.584780e+001	-1.663147e-001
3.625782e+001	-1.588146e-001
3.663467e+001	-1.528146e-001
3.654702e+001	-1.678158e-001
3.685751e+001	-1.648160e-001
3.715142e+001	-1.625663e-001
3.722966e+001	-1.700670e-001
3.709224e+001	-1.873188e-001
3.783405e+001	-1.648175e-001
3.857586e+001	-1.423165e-001
3.802371e+001	-1.783194e-001
3.846692e+001	-1.693188e-001
3.854516e+001	-1.768200e-001
3.868976e+001	-1.813206e-001
3.954770e+001	-1.535689e-001
3.994113e+001	-1.468189e-001
4.025162e+001	-1.438191e-001
4.023033e+001	-1.558201e-001
4.050765e+001	-1.543204e-001
4.081814e+001	-1.513206e-001
4.087979e+001	-1.595714e-001
4.133959e+001	-1.498212e-001
4.229705e+001	-1.175698e-001
4.264072e+001	-1.130699e-001
4.283508e+001	-1.153203e-001
4.334465e+001	-1.033200e-001
4.355560e+001	-1.048205e-001
4.348454e+001	-1.190716e-001
4.347984e+001	-1.303226e-001
4.347514e+001	-1.415736e-001
4.401788e+001	-1.280732e-001
4.374775e+001	-1.513249e-001
4.404166e+001	-1.490751e-001
4.438532e+001	-1.445752e-001
4.419814e+001	-1.640767e-001
4.437592e+001	-1.670772e-001
4.465323e+001	-1.655775e-001
4.512961e+001	-1.550772e-001
4.558941e+001	-1.453270e-001
4.571742e+001	-1.505777e-001
4.581225e+001	-1.573284e-001
4.560847e+001	-1.775804e-001
4.588578e+001	-1.760806e-001
4.598062e+001	-1.828314e-001
4.609204e+001	-1.888321e-001
4.618687e+001	-1.955828e-001
4.663008e+001	-1.865827e-001
4.672491e+001	-1.933334e-001
4.680316e+001	-2.008342e-001
4.676527e+001	-2.135853e-001
4.659468e+001	-2.323366e-001
4.697153e+001	-2.263367e-001
4.716590e+001	-2.285872e-001
4.732708e+001	-2.323377e-001
4.845044e+001	-1.925858e-001
4.841256e+001	-2.053369e-001
4.837468e+001	-2.180880e-001
4.944827e+001	-1.805862e-001
5.145086e+001	-1.010812e-001
5.242492e+001	-6.807970e-002
5.260269e+001	-7.108023e-002
5.311225e+001	-5.907989e-002
5.302461e+001	-7.408111e-002
5.288720e+001	-9.133243e-002
5.352947e+001	-7.333176e-002
5.334228e+001	-9.283323e-002
5.434952e+001	-5.833163e-002
5.444435e+001	-6.508238e-002
5.448942e+001	-7.408323e-002
5.523122e+001	-5.158233e-002
5.511040e+001	-6.808362e-002
5.555360e+001	-5.908345e-002
5.554890e+001	-7.033445e-002
