0	6.33956E8
-22577.11	6.22991E8
-64217.78	6.11242E8
-29628.54	6.02628E8
24021.56	5.94796E8
20485.04	5.84614E8
-135508.6	5.68165E8
-177147.9	5.56416E8
-161600.6	5.47018E8
-184200.7	5.36053E8
-321130.7	5.20387E8
-286541.5	5.11772E8
-309120	5.00807E8
-331697.1	4.89842E8
-297109.2	4.81227E8
-395936.5	4.67128E8
-380389.2	4.5773E8
-345799.9	4.49115E8
-368377.1	4.3815E8
-352852	4.28752E8
-432617.8	4.15436E8
-378965.7	4.07605E8
-458709.1	3.9429E8
-500371.4	3.8254E8
-503886.3	3.72359E8
-621754.8	3.57477E8
-606228.5	3.48078E8
-552577	3.40247E8
-594217.7	3.28499E8
-578691.3	3.191E8
-582206.2	3.08919E8
-547617.7	3.00304E8
-570195.4	2.89339E8
-554669.1	2.79941E8
-634434.8	2.66625E8
-599845.6	2.5801E8
-641485.6	2.46261E8
-683125.6	2.34513E8
-648537	2.25898E8
-690177	2.14149E8
-693691.9	2.03968E8
-678166.2	1.9457E8
-719805.5	1.82821E8
-780508.4	1.70289E8
-841211.3	1.57757E8
-730371.9	1.52277E8
-752949	1.41312E8
-813651.9	1.28779E8
-760001.8	1.20948E8
-782600.5	1.09982E8
-767051.9	1.00585E8
-770588.4	9.04027E7
-831291.2	7.78704E7
-815743.9	6.84728E7
-685863.9	6.37755E7
-708441	5.28106E7
-750081.7	4.1062E7
-810783.2	2.85298E7
-795257.5	1.91313E7
-665377.5	1.44339E7
-611726.1	6.60281E6
-786783.3	-1.06305E7
-599715.3	-1.29769E7
-488897.5	-1.84579E7
-568641	-3.17729E7
-572177.5	-4.19551E7
-518526.1	-4.97862E7
-293355.3	-5.05661E7
-182515.9	-5.60462E7
-33573.73	-5.99599E7
-37108.89	-7.0142E7
245249.8	-6.85709E7
737233.3	-5.83822E7
905237.7	-6.15122E7
1.66405E6	-4.03538E7
1.71771E6	-4.8185E7
2.22875E6	-3.72125E7
2.45392E6	-3.79924E7
2.05018E6	-6.46271E7
2.46593E6	-5.75721E7
2.13842E6	-8.1073E7
2.51607E6	-7.55845E7
2.81747E6	-7.32306E7
3.11887E6	-7.08767E7
3.11536E6	-8.1058E7
2.65443E6	-1.10044E8
3.24172E6	-9.59366E7
3.56218E6	-9.2799E7
4.07323E6	-8.18266E7
3.9363E6	-9.74926E7
3.85653E6	-1.10809E8
4.31041E6	-1.02186E8
4.09725E6	-1.20986E8
4.20807E6	-1.26467E8
4.47137E6	-1.2568E8
4.48689E6	-1.35078E8
4.67396E6	-1.37424E8
4.78478E6	-1.42905E8
4.66691E6	-1.57788E8
4.94927E6	-1.56217E8
4.75515E6	-1.74234E8
4.8088E6	-1.82065E8
5.01491E6	-1.83628E8
4.89704E6	-1.98511E8
5.14128E6	-1.98507E8
6.09067E6	-1.69514E8
7.85957E6	-1.06831E8
8.86616E6	-7.54866E7
9.81553E6	-4.64942E7
1.02313E7	-3.94384E7
9.99907E6	-5.90227E7
1.04529E7	-5.04004E7
1.07544E7	-4.80456E7
1.06174E7	-6.37116E7
1.08998E7	-6.21414E7
1.06866E7	-8.09412E7
1.07974E7	-8.64222E7
1.10989E7	-8.40675E7
1.13431E7	-8.40637E7
1.11871E7	-1.00513E8
1.13551E7	-1.03643E8
1.17899E7	-9.58048E7
1.22057E7	-8.87498E7
1.26405E7	-8.09111E7
1.2656E7	-9.03096E7
1.23476E7	-1.13027E8
1.24584E7	-1.18508E8
1.28932E7	-1.10669E8
1.30612E7	-1.13799E8
1.30577E7	-1.2398E8
1.34163E7	-1.19276E8
1.43085E7	-9.26333E7
1.48958E7	-7.85271E7
1.4797E7	-9.26258E7
1.53461E7	-8.0086E7
1.55522E7	-8.16496E7
1.5949E7	-7.53774E7
1.63456E7	-6.9106E7
1.67805E7	-6.12674E7
1.67769E7	-7.14486E7
1.73071E7	-5.96925E7
1.73416E7	-6.83073E7
1.76049E7	-6.75199E7
1.80207E7	-6.04649E7
1.81887E7	-6.35949E7
1.76706E7	-9.49316E7
1.81626E7	-8.47419E7
1.84068E7	-8.47382E7
1.84986E7	-9.10028E7
1.88191E7	-8.78644E7
1.88727E7	-9.56956E7
1.90407E7	-9.88265E7
1.89228E7	-1.13709E8
1.93386E7	-1.06654E8
1.94304E7	-1.12918E8
2.00558E7	-9.72441E7
2.04143E7	-9.25392E7
2.05442E7	-9.72365E7
2.15508E7	-6.58932E7
2.16235E7	-7.29406E7
2.13913E7	-9.25241E7
2.15783E7	-9.48714E7
2.18607E7	-9.33002E7
2.26004E7	-7.29256E7
2.25969E7	-8.31068E7
2.25553E7	-9.48563E7
2.24755E7	-1.08171E8
2.26435E7	-1.11301E8
2.2983E7	-1.0738E8
2.35322E7	-9.48412E7
2.32619E7	-1.15991E8
2.36586E7	-1.0972E8
2.37694E7	-1.152E8
2.39183E7	-1.19115E8
2.39148E7	-1.29296E8
2.40066E7	-1.3556E8
2.45748E7	-1.22237E8
2.44188E7	-1.38687E8
2.43009E7	-1.53569E8
2.46786E7	-1.48081E8
2.49419E7	-1.47293E8
2.46525E7	-1.69228E8
2.45727E7	-1.82544E8
2.48551E7	-1.80972E8
2.49659E7	-1.86453E8
2.48861E7	-1.99768E8
2.51685E7	-1.98198E8
2.45551E7	-2.33451E8
2.51614E7	-2.18562E8
2.54247E7	-2.17774E8
2.55546E7	-2.22472E8
2.57035E7	-2.26385E8
2.57953E7	-2.32649E8
2.57346E7	-2.45181E8
2.58454E7	-2.50662E8
2.62231E7	-2.45174E8
2.70581E7	-2.20882E8
