    nm         	nN
2.804893e+001	-9.878984e-002
2.816023e+001	-1.047962e-001
2.797325e+001	-1.242884e-001
2.815083e+001	-1.272979e-001
2.856040e+001	-1.198185e-001
2.867170e+001	-1.258249e-001
2.878299e+001	-1.318312e-001
2.876173e+001	-1.438311e-001
2.907187e+001	-1.408470e-001
2.976314e+001	-1.206312e-001
2.946017e+001	-1.453676e-001
2.957146e+001	-1.513741e-001
2.981533e+001	-1.513868e-001
3.004262e+001	-1.521487e-001
3.073389e+001	-1.319327e-001
3.111031e+001	-1.259517e-001
3.107248e+001	-1.387009e-001
3.080265e+001	-1.619391e-001
3.093052e+001	-1.671962e-001
3.127380e+001	-1.627137e-001
3.161709e+001	-1.582312e-001
3.189409e+001	-1.567454e-001
3.258536e+001	-1.365294e-001
3.259724e+001	-1.470309e-001
3.260910e+001	-1.575327e-001
3.277011e+001	-1.612914e-001
3.312997e+001	-1.560596e-001
3.335726e+001	-1.568215e-001
3.293830e+001	-1.868026e-001
3.328159e+001	-1.823199e-001
3.335974e+001	-1.898248e-001
3.375274e+001	-1.830944e-001
3.411260e+001	-1.778627e-001
3.389248e+001	-1.988533e-001
3.415291e+001	-1.981168e-001
3.434706e+001	-2.003771e-001
3.483948e+001	-1.891517e-001
3.539819e+001	-1.749293e-001
3.638773e+001	-1.412275e-001
3.688015e+001	-1.300021e-001
3.728972e+001	-1.225228e-001
3.841182e+001	-8.282738e-002
3.910309e+001	-6.261131e-002
3.916468e+001	-7.086524e-002
3.978966e+001	-5.364621e-002
4.094491e+001	-1.245219e-002
4.070823e+001	-3.419203e-002
4.096866e+001	-3.345552e-002
4.114624e+001	-3.646502e-002
4.173808e+001	-2.074440e-002
4.193223e+001	-2.300470e-002
4.214295e+001	-2.451579e-002
4.220454e+001	-3.276973e-002
4.216670e+001	-4.551890e-002
4.236085e+001	-4.777941e-002
4.316811e+001	-2.231892e-002
4.317998e+001	-3.282047e-002
4.279416e+001	-6.130316e-002
4.338601e+001	-4.558232e-002
4.329846e+001	-6.057932e-002
4.311148e+001	-8.007132e-002
4.340506e+001	-7.783640e-002
4.432832e+001	-4.713145e-002
4.510244e+001	-2.316959e-002
4.479947e+001	-4.790625e-002
4.481134e+001	-5.840780e-002
4.535348e+001	-4.493458e-002
4.518307e+001	-6.367760e-002
4.519494e+001	-7.417916e-002
4.595249e+001	-5.096649e-002
4.624606e+001	-4.873156e-002
4.637393e+001	-5.398868e-002
4.655151e+001	-5.699818e-002
4.687823e+001	-5.326484e-002
4.692324e+001	-6.226798e-002
4.711740e+001	-6.452828e-002
4.734469e+001	-6.529016e-002
4.783711e+001	-5.406478e-002
4.766671e+001	-7.280759e-002
4.787742e+001	-7.431868e-002
4.827042e+001	-6.758852e-002
4.861371e+001	-6.310598e-002
4.875815e+001	-6.761389e-002
4.891915e+001	-7.137260e-002
4.894760e+001	-8.112494e-002
4.937374e+001	-7.289637e-002
