    nm         	nN
2.815219e+001	-2.730341e-001
2.835949e+001	-2.744332e-001
2.869740e+001	-2.708718e-001
2.886117e+001	-2.739245e-001
2.891614e+001	-2.811101e-001
2.907991e+001	-2.841627e-001
2.937428e+001	-2.822548e-001
2.938569e+001	-2.910948e-001
2.935358e+001	-3.015874e-001
2.964796e+001	-2.996795e-001
2.974643e+001	-3.052125e-001
2.934431e+001	-3.297592e-001
2.950808e+001	-3.328119e-001
2.978069e+001	-3.317307e-001
3.027094e+001	-3.223828e-001
3.036944e+001	-3.279149e-001
3.094675e+001	-3.152599e-001
3.119760e+001	-3.150055e-001
3.118726e+001	-3.246714e-001
3.122043e+001	-3.326847e-001
3.099242e+001	-3.506182e-001
3.096032e+001	-3.611108e-001
3.118939e+001	-3.616832e-001
3.141846e+001	-3.622556e-001
3.121222e+001	-3.793623e-001
3.124539e+001	-3.873756e-001
3.151800e+001	-3.862944e-001
3.137706e+001	-4.009209e-001
3.143202e+001	-4.081065e-001
3.159580e+001	-4.111591e-001
3.191194e+001	-4.084245e-001
3.240219e+001	-3.990765e-001
3.391543e+001	-3.508726e-001
3.403570e+001	-3.555778e-001
3.396003e+001	-3.677249e-001
3.388440e+001	-3.798711e-001
3.461408e+001	-3.614288e-001
3.588792e+001	-3.223183e-001
3.583402e+001	-3.336386e-001
3.560604e+001	-3.515712e-001
3.576981e+001	-3.546239e-001
3.599888e+001	-3.551962e-001
3.577088e+001	-3.731297e-001
3.643526e+001	-3.571678e-001
3.655550e+001	-3.618739e-001
3.650163e+001	-3.731934e-001
3.666540e+001	-3.762460e-001
3.689448e+001	-3.768184e-001
3.729768e+001	-3.707767e-001
3.741792e+001	-3.754828e-001
3.740758e+001	-3.851487e-001
3.733192e+001	-3.972958e-001
3.723451e+001	-4.102687e-001
3.755066e+001	-4.075341e-001
3.793210e+001	-4.023191e-001
3.785643e+001	-4.144662e-001
3.775903e+001	-4.274391e-001
3.781399e+001	-4.346246e-001
3.776009e+001	-4.459449e-001
3.768445e+001	-4.580912e-001
3.791353e+001	-4.586635e-001
3.822967e+001	-4.559288e-001
3.850228e+001	-4.548477e-001
3.870958e+001	-4.562468e-001
3.893865e+001	-4.568192e-001
