    nm         	nN
2.945566e+001	-4.632442e+000
2.971639e+001	-4.631691e+000
2.959557e+001	-4.648193e+000
2.995584e+001	-4.642942e+000
3.091334e+001	-4.610689e+000
3.100817e+001	-4.617440e+000
3.148457e+001	-4.606939e+000
3.174531e+001	-4.606189e+000
3.185673e+001	-4.612189e+000
3.234972e+001	-4.600938e+000
3.242796e+001	-4.608439e+000
3.270528e+001	-4.606939e+000
3.341394e+001	-4.585937e+000
3.339265e+001	-4.597938e+000
3.410129e+001	-4.576936e+000
3.408001e+001	-4.588937e+000
3.419143e+001	-4.594938e+000
3.412037e+001	-4.609189e+000
3.443087e+001	-4.606189e+000
3.416073e+001	-4.629441e+000
3.493574e+001	-4.605439e+000
3.522966e+001	-4.603188e+000
3.572264e+001	-4.591937e+000
3.502117e+001	-4.634692e+000
3.508283e+001	-4.642942e+000
3.557581e+001	-4.631691e+000
3.631765e+001	-4.609189e+000
3.677746e+001	-4.599438e+000
3.673958e+001	-4.612189e+000
3.683441e+001	-4.618940e+000
3.701219e+001	-4.621941e+000
3.718997e+001	-4.624941e+000
3.751707e+001	-4.621191e+000
3.739624e+001	-4.637692e+000
3.740812e+001	-4.648193e+000
3.813336e+001	-4.626441e+000
3.817843e+001	-4.635442e+000
3.822350e+001	-4.644443e+000
3.861695e+001	-4.637692e+000
3.872837e+001	-4.643693e+000
3.855778e+001	-4.662444e+000
3.893464e+001	-4.656444e+000
3.909583e+001	-4.660194e+000
3.990402e+001	-4.634692e+000
3.998227e+001	-4.642192e+000
3.992780e+001	-4.655694e+000
4.003922e+001	-4.661694e+000
4.049903e+001	-4.651943e+000
4.047774e+001	-4.663944e+000
4.034032e+001	-4.681196e+000
4.104897e+001	-4.660194e+000
4.250416e+001	-4.605439e+000
4.346166e+001	-4.573186e+000
4.358967e+001	-4.578436e+000
4.393335e+001	-4.573936e+000
4.394524e+001	-4.584437e+000
4.428892e+001	-4.579936e+000
4.471555e+001	-4.571686e+000
4.474403e+001	-4.581437e+000
4.505453e+001	-4.578436e+000
4.541480e+001	-4.573186e+000
4.517784e+001	-4.594938e+000
4.562106e+001	-4.585937e+000
4.568272e+001	-4.594188e+000
4.625865e+001	-4.579186e+000
4.617100e+001	-4.594188e+000
4.659763e+001	-4.585937e+000
4.665929e+001	-4.594188e+000
4.688684e+001	-4.594938e+000
4.771162e+001	-4.568685e+000
4.747466e+001	-4.590437e+000
4.795106e+001	-4.579936e+000
4.841086e+001	-4.570186e+000
4.794166e+001	-4.602438e+000
4.845123e+001	-4.590437e+000
4.911011e+001	-4.571686e+000
4.933767e+001	-4.572436e+000
4.951545e+001	-4.575436e+000
4.922873e+001	-4.599438e+000
5.003692e+001	-4.573936e+000
5.061285e+001	-4.558935e+000
5.021000e+001	-4.588187e+000
5.047073e+001	-4.587437e+000
5.033331e+001	-4.604689e+000
5.037838e+001	-4.613689e+000
5.092113e+001	-4.600188e+000
5.113210e+001	-4.601688e+000
5.104444e+001	-4.616690e+000
5.170333e+001	-4.597938e+000
5.232904e+001	-4.580686e+000
5.230774e+001	-4.592688e+000
5.253530e+001	-4.593438e+000
5.296192e+001	-4.585187e+000
5.290745e+001	-4.598688e+000
5.293593e+001	-4.608439e+000
5.327961e+001	-4.603939e+000
5.393849e+001	-4.585187e+000
5.419923e+001	-4.584437e+000
5.454291e+001	-4.579936e+000
5.445526e+001	-4.594938e+000
5.426807e+001	-4.614439e+000
5.447903e+001	-4.615940e+000
5.513792e+001	-4.597188e+000
5.529911e+001	-4.600938e+000
5.509532e+001	-4.621191e+000
5.517357e+001	-4.628691e+000
5.584905e+001	-4.609189e+000
5.576139e+001	-4.624191e+000
5.603872e+001	-4.622691e+000
5.651512e+001	-4.612189e+000
5.669290e+001	-4.615190e+000
5.713612e+001	-4.606189e+000
5.739685e+001	-4.605439e+000
5.757464e+001	-4.608439e+000
5.788514e+001	-4.605439e+000
5.746569e+001	-4.635442e+000
5.764347e+001	-4.638442e+000
5.810328e+001	-4.628691e+000
5.838060e+001	-4.627191e+000
5.825977e+001	-4.643693e+000
5.878594e+001	-4.630941e+000
5.916280e+001	-4.624941e+000
5.907515e+001	-4.639942e+000
5.958472e+001	-4.627941e+000
5.981228e+001	-4.628691e+000
6.033845e+001	-4.615940e+000
6.096415e+001	-4.598688e+000
6.099263e+001	-4.608439e+000
6.150221e+001	-4.596438e+000
6.141456e+001	-4.611439e+000
6.117759e+001	-4.633192e+000
6.117289e+001	-4.644443e+000
6.116819e+001	-4.655694e+000
6.154505e+001	-4.649693e+000
6.177260e+001	-4.650443e+000
6.188403e+001	-4.656444e+000
6.222771e+001	-4.651943e+000
6.257139e+001	-4.647443e+000
6.344594e+001	-4.618940e+000
6.330852e+001	-4.636192e+000
6.318769e+001	-4.652693e+000
6.314981e+001	-4.665444e+000
6.346031e+001	-4.662444e+000
6.416897e+001	-4.641442e+000
6.418085e+001	-4.651943e+000
6.429227e+001	-4.657944e+000
6.461936e+001	-4.654193e+000
6.468102e+001	-4.662444e+000
6.504129e+001	-4.657194e+000
6.526884e+001	-4.657944e+000
6.604385e+001	-4.633942e+000
6.673593e+001	-4.613689e+000
6.634966e+001	-4.642192e+000
6.670992e+001	-4.636942e+000
6.715315e+001	-4.627941e+000
6.731434e+001	-4.631691e+000
6.735940e+001	-4.640692e+000
6.720540e+001	-4.658694e+000
6.794723e+001	-4.636192e+000
6.804206e+001	-4.642942e+000
6.805395e+001	-4.653443e+000
6.819855e+001	-4.657944e+000
6.874131e+001	-4.644443e+000
6.867025e+001	-4.658694e+000
6.898075e+001	-4.655694e+000
6.960646e+001	-4.638442e+000
6.951880e+001	-4.653443e+000
6.963023e+001	-4.659444e+000
6.957576e+001	-4.672945e+000
7.008533e+001	-4.660944e+000
7.003086e+001	-4.674445e+000
7.019206e+001	-4.678196e+000
7.040303e+001	-4.679696e+000
7.051444e+001	-4.685697e+000
7.105721e+001	-4.672195e+000
7.179904e+001	-4.649693e+000
7.176116e+001	-4.662444e+000
7.169010e+001	-4.676695e+000
7.128723e+001	-4.705949e+000
7.182999e+001	-4.692447e+000
7.207413e+001	-4.692447e+000
7.253395e+001	-4.682696e+000
7.239652e+001	-4.699948e+000
7.302224e+001	-4.682696e+000
7.369771e+001	-4.663194e+000
7.540174e+001	-4.597188e+000
7.612698e+001	-4.575436e+000
7.618864e+001	-4.583687e+000
7.598486e+001	-4.603939e+000
7.631196e+001	-4.600188e+000
7.720309e+001	-4.570936e+000
7.694955e+001	-4.593438e+000
7.717710e+001	-4.594188e+000
7.788575e+001	-4.573186e+000
7.768197e+001	-4.593438e+000
7.830768e+001	-4.576186e+000
7.828638e+001	-4.588187e+000
7.854712e+001	-4.587437e+000
7.895716e+001	-4.579936e+000
7.895245e+001	-4.591187e+000
7.888139e+001	-4.605439e+000
7.934120e+001	-4.595688e+000
7.988395e+001	-4.582187e+000
7.997879e+001	-4.588937e+000
7.962571e+001	-4.615940e+000
8.026800e+001	-4.597938e+000
8.056191e+001	-4.595688e+000
8.040791e+001	-4.613689e+000
8.035342e+001	-4.627191e+000
8.112845e+001	-4.603188e+000
8.097443e+001	-4.621191e+000
8.128493e+001	-4.618190e+000
8.166180e+001	-4.612189e+000
