    nm         	nN
2.934991e+001	-5.014190e-002
2.939499e+001	-5.914182e-002
2.977202e+001	-5.313397e-002
3.076311e+001	-1.936175e-002
3.114014e+001	-1.335390e-002
3.133459e+001	-1.560032e-002
3.172821e+001	-8.842090e-003
3.170691e+001	-2.084357e-002
3.195116e+001	-2.083883e-002
3.178049e+001	-3.959381e-002
3.222389e+001	-3.058440e-002
3.243495e+001	-3.208044e-002
3.286176e+001	-2.382142e-002
3.287365e+001	-3.432212e-002
3.346643e+001	-1.855922e-002
3.337875e+001	-3.356225e-002
3.322467e+001	-5.156684e-002
3.355190e+001	-4.781016e-002
3.382934e+001	-4.630464e-002
3.407359e+001	-4.629990e-002
3.436763e+001	-4.404399e-002
3.477784e+001	-3.653537e-002
3.457398e+001	-5.679112e-002
3.503398e+001	-4.703133e-002
3.556038e+001	-3.426998e-002
3.562206e+001	-4.251952e-002
3.629782e+001	-2.300467e-002
3.587820e+001	-5.301548e-002
3.577390e+001	-6.876935e-002
3.638329e+001	-5.225561e-002
3.671052e+001	-4.849893e-002
3.698796e+001	-4.699342e-002
3.741477e+001	-3.873440e-002
3.697854e+001	-6.949604e-002
3.720620e+001	-7.024168e-002
3.733427e+001	-7.548966e-002
3.759511e+001	-7.473454e-002
3.842025e+001	-4.846575e-002
3.790104e+001	-8.297933e-002
3.799592e+001	-8.972809e-002
3.782525e+001	-1.084831e-001
3.783714e+001	-1.189838e-001
3.841332e+001	-1.039713e-001
3.857459e+001	-1.077185e-001
3.910098e+001	-9.495712e-002
3.891371e+001	-1.144625e-001
3.920775e+001	-1.122066e-001
3.946859e+001	-1.114514e-001
4.014435e+001	-9.193660e-002
4.063755e+001	-8.067603e-002
4.081541e+001	-8.367285e-002
4.127542e+001	-7.391306e-002
4.132050e+001	-8.291298e-002
4.163114e+001	-7.990668e-002
4.164303e+001	-9.040738e-002
4.205324e+001	-8.289876e-002
4.282860e+001	-5.888114e-002
4.260813e+001	-7.988773e-002
4.275280e+001	-8.438532e-002
4.286427e+001	-9.038368e-002
4.302553e+001	-9.413089e-002
4.292125e+001	-1.098843e-001
4.299953e+001	-1.173835e-001
4.370848e+001	-9.636784e-002
4.395273e+001	-9.636309e-002
4.369908e+001	-1.188700e-001
4.386034e+001	-1.226172e-001
4.423736e+001	-1.166094e-001
4.444842e+001	-1.181054e-001
4.452670e+001	-1.256046e-001
4.483733e+001	-1.225983e-001
4.508158e+001	-1.225935e-001
4.559137e+001	-1.105826e-001
4.625054e+001	-9.181811e-002
4.631222e+001	-1.000676e-001
4.624113e+001	-1.143203e-001
4.638580e+001	-1.188179e-001
4.653046e+001	-1.233155e-001
4.672492e+001	-1.255619e-001
4.718493e+001	-1.158021e-001
4.734619e+001	-1.195493e-001
4.700954e+001	-1.458086e-001
4.768532e+001	-1.262933e-001
4.837767e+001	-1.060281e-001
4.862192e+001	-1.060233e-001
4.926449e+001	-8.800929e-002
4.935936e+001	-9.475804e-002
4.981937e+001	-8.499825e-002
4.989765e+001	-9.249740e-002
4.989295e+001	-1.037485e-001
5.003761e+001	-1.082461e-001
5.018228e+001	-1.127437e-001
5.009460e+001	-1.277467e-001
5.075376e+001	-1.089823e-001
5.157889e+001	-8.271390e-002
5.182314e+001	-8.270916e-002
5.206739e+001	-8.270442e-002
5.204609e+001	-9.470591e-002
5.232353e+001	-9.320038e-002
5.211966e+001	-1.134561e-001
5.282862e+001	-9.244052e-002
5.305627e+001	-9.318617e-002
5.311795e+001	-1.014357e-001
5.327922e+001	-1.051829e-001
5.370602e+001	-9.692389e-002
5.395027e+001	-9.691915e-002
5.368002e+001	-1.201765e-001
5.365871e+001	-1.321784e-001
5.403574e+001	-1.261701e-001
5.429659e+001	-1.254150e-001
5.440805e+001	-1.314138e-001
5.451952e+001	-1.374121e-001
5.451482e+001	-1.486632e-001
5.490844e+001	-1.419050e-001
5.495353e+001	-1.509049e-001
5.503181e+001	-1.584041e-001
5.589014e+001	-1.306345e-001
5.595182e+001	-1.388845e-001
5.622926e+001	-1.373790e-001
5.629094e+001	-1.456285e-001
5.660157e+001	-1.426222e-001
5.667986e+001	-1.501214e-001
5.675814e+001	-1.576205e-001
5.718495e+001	-1.493615e-001
5.747899e+001	-1.471056e-001
5.752407e+001	-1.561055e-001
5.746958e+001	-1.696078e-001
5.751467e+001	-1.786077e-001
5.794147e+001	-1.703487e-001
5.777081e+001	-1.891036e-001
5.806484e+001	-1.868477e-001
5.839207e+001	-1.830911e-001
5.827119e+001	-1.995949e-001
5.851544e+001	-1.995901e-001
5.872649e+001	-2.010866e-001
5.860560e+001	-2.175904e-001
5.880006e+001	-2.198369e-001
5.909410e+001	-2.175809e-001
5.927196e+001	-2.205778e-001
5.926725e+001	-2.318288e-001
5.926255e+001	-2.430799e-001
5.940722e+001	-2.475775e-001
5.938592e+001	-2.595790e-001
5.963017e+001	-2.595743e-001
5.999059e+001	-2.543168e-001
6.036761e+001	-2.483090e-001
6.024673e+001	-2.648128e-001
6.052417e+001	-2.633073e-001
6.063564e+001	-2.693056e-001
6.081350e+001	-2.723029e-001
6.107434e+001	-2.715478e-001
6.106963e+001	-2.827988e-001
6.119771e+001	-2.880468e-001
6.114321e+001	-3.015491e-001
6.122149e+001	-3.090482e-001
6.131637e+001	-3.157970e-001
6.159381e+001	-3.142915e-001
6.158911e+001	-3.255426e-001
6.153461e+001	-3.390448e-001
6.166267e+001	-3.442932e-001
6.192352e+001	-3.435381e-001
6.193542e+001	-3.540388e-001
6.229584e+001	-3.487814e-001
6.222475e+001	-3.630340e-001
6.271794e+001	-3.517734e-001
6.269664e+001	-3.637749e-001
6.247618e+001	-3.847811e-001
6.265405e+001	-3.877779e-001
6.286510e+001	-3.892739e-001
6.317573e+001	-3.862676e-001
6.351956e+001	-3.817606e-001
6.368082e+001	-3.855078e-001
6.355994e+001	-4.020116e-001
6.383738e+001	-4.005060e-001
6.383267e+001	-4.117576e-001
6.414331e+001	-4.087509e-001
6.435436e+001	-4.102473e-001
6.436625e+001	-4.207480e-001
6.447772e+001	-4.267464e-001
6.465559e+001	-4.297432e-001
6.471727e+001	-4.379928e-001
6.464618e+001	-4.522454e-001
6.467467e+001	-4.619957e-001
6.470316e+001	-4.717460e-001
6.489762e+001	-4.739925e-001
6.500908e+001	-4.799913e-001
6.490480e+001	-4.957447e-001
6.513245e+001	-4.964903e-001
6.537670e+001	-4.964856e-001
6.550476e+001	-5.017335e-001
6.566603e+001	-5.054808e-001
6.614263e+001	-4.949706e-001
6.630390e+001	-4.987178e-001
6.716223e+001	-4.709482e-001
6.722391e+001	-4.791982e-001
6.934360e+001	-3.943987e-001
7.348810e+001	-2.180517e-001
7.600611e+001	-1.152428e-001
7.732914e+001	-6.646280e-002
7.841983e+001	-2.818779e-002
7.881345e+001	-2.142955e-002
7.952241e+001	-4.139265e-004
7.941812e+001	-1.616735e-002
7.929724e+001	-3.267116e-002
7.965767e+001	-2.741371e-002
8.020065e+001	-1.390197e-002
8.037851e+001	-1.689878e-002
8.034062e+001	-2.965065e-002
8.091680e+001	-1.463814e-002
8.097848e+001	-2.288767e-002
8.127252e+001	-2.063176e-002
8.123462e+001	-3.338363e-002
8.147887e+001	-3.337889e-002
8.185589e+001	-2.737104e-002
8.236569e+001	-1.536009e-002
8.234439e+001	-2.736156e-002
8.235628e+001	-3.786227e-002
8.208603e+001	-6.111957e-002
8.236347e+001	-5.961406e-002
8.270730e+001	-5.510698e-002
8.286856e+001	-5.885419e-002
8.316260e+001	-5.659828e-002
8.378857e+001	-3.933461e-002
8.378387e+001	-5.058569e-002
8.372936e+001	-6.408839e-002
8.405660e+001	-6.033127e-002
8.418466e+001	-6.557969e-002
8.454510e+001	-6.032179e-002
8.468976e+001	-6.481982e-002
8.466846e+001	-7.682130e-002
8.516165e+001	-6.556074e-002
8.525653e+001	-7.230949e-002
8.548418e+001	-7.305514e-002
8.542969e+001	-8.655739e-002
8.557436e+001	-9.105499e-002
8.633310e+001	-6.778820e-002
8.626201e+001	-8.204084e-002
8.630710e+001	-9.104077e-002
8.665093e+001	-8.653370e-002
8.674580e+001	-9.328246e-002
8.684068e+001	-1.000312e-001
8.756623e+001	-7.826520e-002
8.734577e+001	-9.927135e-002
8.775599e+001	-9.176272e-002
8.756871e+001	-1.112681e-001
8.791255e+001	-1.067610e-001
8.807381e+001	-1.105082e-001
8.855041e+001	-9.999804e-002
8.808099e+001	-1.322605e-001
8.820906e+001	-1.375084e-001
8.878525e+001	-1.224955e-001
8.907929e+001	-1.202396e-001
8.902478e+001	-1.337423e-001
8.915286e+001	-1.389902e-001
8.898218e+001	-1.577452e-001
8.914345e+001	-1.614924e-001
8.940429e+001	-1.607373e-001
8.901787e+001	-1.892473e-001
8.971022e+001	-1.689821e-001
9.003745e+001	-1.652254e-001
9.038128e+001	-1.607183e-001
9.037658e+001	-1.719694e-001
9.017271e+001	-1.922252e-001
9.021779e+001	-2.012256e-001
9.062801e+001	-1.937165e-001
9.065650e+001	-2.034672e-001
9.073477e+001	-2.109664e-001
9.134416e+001	-1.944527e-001
9.130626e+001	-2.072050e-001
9.113558e+001	-2.259599e-001
9.179475e+001	-2.071955e-001
9.217177e+001	-2.011876e-001
9.210068e+001	-2.154403e-001
9.206278e+001	-2.281922e-001
9.237342e+001	-2.251859e-001
9.311557e+001	-2.026695e-001
9.335982e+001	-2.026647e-001
9.317255e+001	-2.221701e-001
9.353297e+001	-2.169126e-001
9.364445e+001	-2.229110e-001
9.355676e+001	-2.379140e-001
9.375121e+001	-2.401604e-001
9.364693e+001	-2.559139e-001
9.438908e+001	-2.333975e-001
9.473290e+001	-2.288904e-001
9.464522e+001	-2.438935e-001
9.455754e+001	-2.588965e-001
9.493456e+001	-2.528886e-001
9.454811e+001	-2.813991e-001
9.489194e+001	-2.768920e-001
9.518598e+001	-2.746361e-001
9.552981e+001	-2.701291e-001
9.587365e+001	-2.656215e-001
9.600171e+001	-2.708700e-001
9.609658e+001	-2.776187e-001
9.599230e+001	-2.933721e-001
9.638592e+001	-2.866139e-001
9.634802e+001	-2.993658e-001
9.632672e+001	-3.113672e-001
9.680332e+001	-3.008571e-001
9.704757e+001	-3.008523e-001
9.709266e+001	-3.098523e-001
9.717094e+001	-3.173514e-001
9.738199e+001	-3.188474e-001
9.747686e+001	-3.255962e-001
9.725640e+001	-3.466028e-001
